#: table_doi: 10.17182/hepdata.100193.v1/t1
#: name: Table 1
#: description: Observed cross sections of $e^+ e^- \to \mu^+ \mu^-$ at center-of-mass energies from 3.85 to 4.59 GeV, which are measured using the data taken in 2013, 2014, 2015, 2016 and 2017. Shown in the table are the center-of-mass energy, the observed cross section and its uncertainty, where the uncertainty is due to statistical fluctuation.
#: data_file: data1.yaml
#: keyword reactions: e+ e- to mu+ mu-
#: keyword observables: observed cross section
cernter-of-mass energy [GeV],observed cross section [nb],error +,error -
3.81,7.9331,0.0234,-0.0234
3.85,7.7445,0.0506,-0.0506
3.89,7.5668,0.0505,-0.0505
3.895,7.4827,0.0507,-0.0507
3.9,7.4666,0.0507,-0.0507
3.9,7.4875,0.0222,-0.0222
3.905,7.4345,0.0504,-0.0504
3.91,7.512,0.0519,-0.0519
3.915,7.4869,0.0512,-0.0512
3.92,7.4277,0.053,-0.053
3.925,7.4317,0.0534,-0.0534
3.93,7.3516,0.053,-0.053
3.935,7.2945,0.0515,-0.0515
3.94,7.2974,0.0513,-0.0513
3.945,7.4233,0.0506,-0.0506
3.95,7.2955,0.0496,-0.0496
3.955,7.2572,0.0483,-0.0483
3.96,7.284,0.0474,-0.0474
3.965,7.2903,0.0496,-0.0496
3.97,7.1297,0.0502,-0.0502
3.975,7.1965,0.0483,-0.0483
3.98,7.1891,0.0489,-0.0489
3.985,7.1838,0.0484,-0.0484
3.99,7.1165,0.048,-0.048
3.995,7.1041,0.0482,-0.0482
4.0,7.1068,0.0489,-0.0489
4.005,7.1087,0.0496,-0.0496
4.009,7.1048,0.0237,-0.0237
4.01,7.043,0.0505,-0.0505
4.012,7.0376,0.0513,-0.0513
4.014,6.8714,0.0516,-0.0516
4.016,7.0329,0.0526,-0.0526
4.018,7.0106,0.0511,-0.0511
4.02,6.993,0.0519,-0.0519
4.025,7.0627,0.0526,-0.0526
4.03,7.021,0.0342,-0.0342
4.035,7.0532,0.0522,-0.0522
4.04,6.9914,0.0525,-0.0525
4.05,7.0444,0.0527,-0.0527
4.055,6.947,0.051,-0.051
4.06,6.8458,0.0527,-0.0527
4.065,6.832,0.0502,-0.0502
4.07,6.9159,0.0497,-0.0497
4.08,6.8846,0.0481,-0.0481
4.09,6.8545,0.0484,-0.0484
4.09,6.7942,0.0208,-0.0208
4.1,6.8484,0.0494,-0.0494
4.11,6.7722,0.0496,-0.0496
4.12,6.7481,0.0477,-0.0477
4.13,6.7593,0.0493,-0.0493
4.14,6.7178,0.0489,-0.0489
4.145,6.6268,0.047,-0.047
4.15,6.6593,0.0474,-0.0474
4.16,6.5515,0.0464,-0.0464
4.17,6.6432,0.0319,-0.0319
4.178,6.58,0.0164,-0.0164
4.18,6.5936,0.0482,-0.0482
4.19,6.5529,0.0474,-0.0474
4.19,6.5209,0.022,-0.022
4.19,6.5115,0.0115,-0.0115
4.195,6.5049,0.0474,-0.0474
4.2,6.4495,0.047,-0.047
4.2,6.4829,0.0114,-0.0114
4.203,6.4567,0.0494,-0.0494
4.206,6.4712,0.0469,-0.0469
4.21,6.4681,0.0467,-0.0467
4.21,6.4435,0.0199,-0.0199
4.21,6.4283,0.0114,-0.0114
4.215,6.5426,0.0468,-0.0468
4.22,6.4489,0.0459,-0.0459
4.22,6.401,0.0198,-0.0198
4.22,6.4446,0.0114,-0.0114
4.225,6.4516,0.0453,-0.0453
4.23,6.3595,0.0449,-0.0449
4.23,6.4049,0.0106,-0.0106
4.23,6.4379,0.0216,-0.0216
4.235,6.3746,0.0447,-0.0447
4.237,6.3987,0.0113,-0.0113
4.24,6.4,0.044,-0.044
4.243,6.42,0.0441,-0.0441
4.245,6.3812,0.0443,-0.0443
4.245,6.3373,0.0195,-0.0195
4.246,6.3662,0.0112,-0.0112
4.248,6.2926,0.0437,-0.0437
4.25,6.3415,0.0438,-0.0438
4.255,6.353,0.0437,-0.0437
4.26,6.3489,0.0432,-0.0432
4.26,6.3014,0.0106,-0.0106
4.265,6.3044,0.0435,-0.0435
4.27,6.2505,0.0435,-0.0435
4.27,6.2758,0.0111,-0.0111
4.275,6.2009,0.0433,-0.0433
4.28,6.2123,0.043,-0.043
4.28,6.2621,0.0139,-0.0139
4.285,6.1733,0.0432,-0.0432
4.29,6.2424,0.0426,-0.0426
4.3,6.1733,0.0436,-0.0436
4.31,6.1379,0.0423,-0.0423
4.31,6.1778,0.021,-0.021
4.32,6.0821,0.0412,-0.0412
4.33,6.1557,0.0429,-0.0429
4.34,6.0694,0.0426,-0.0426
4.35,6.0413,0.0428,-0.0428
4.36,6.0003,0.0438,-0.0438
4.36,5.9899,0.0106,-0.0106
4.37,5.9367,0.0425,-0.0425
4.38,5.8621,0.043,-0.043
4.39,5.9352,0.0451,-0.0451
4.39,5.9129,0.0187,-0.0187
4.395,5.9092,0.0441,-0.0441
4.4,5.8909,0.0459,-0.0459
4.41,5.8361,0.0461,-0.0461
4.42,5.8218,0.0445,-0.0445
4.42,5.8592,0.02,-0.02
4.42,5.8182,0.0097,-0.0097
4.425,5.8958,0.0451,-0.0451
4.43,5.853,0.047,-0.047
4.44,5.7952,0.0441,-0.0441
4.45,5.8281,0.0441,-0.0441
4.46,5.8653,0.0417,-0.0417
4.47,5.7673,0.0147,-0.0147
4.48,5.7503,0.0426,-0.0426
4.5,5.6453,0.0426,-0.0426
4.52,5.5995,0.0407,-0.0407
4.53,5.5835,0.0143,-0.0143
4.54,5.6046,0.0393,-0.0393
4.55,5.5579,0.0402,-0.0402
4.56,5.5733,0.0413,-0.0413
4.57,5.5497,0.041,-0.041
4.575,5.4715,0.019,-0.019
4.58,5.5729,0.0407,-0.0407
4.59,5.4479,0.041,-0.041
4.6,5.4165,0.0099,-0.0099

