year,sample,sqrt_s_mean_GeV,sqrt_s_rms_GeV,xsec_measured_nb,xsec_measured_err_nb,xsec_corrected_nb,xsec_fit_nb
1990,peak-3,88.2510,0.0481,0.2450,0.0243,0.2449,0.2345
1990,peak-2,89.2510,0.0490,0.4181,0.0284,0.4178,0.4302
1990,peak-1,90.2490,0.0500,0.8432,0.0477,0.8427,0.9116
1990,peak,91.2440,0.0510,1.4833,0.0221,1.4854,1.4779
1990,peak+1,92.2350,0.0520,1.0841,0.0477,1.0838,1.0467
1990,peak+2,93.2380,0.0529,0.5961,0.0345,0.5958,0.6102
1990,peak+3,94.2350,0.0539,0.3970,0.0284,0.3969,0.3983
1991,prescan,91.2540,0.0471,1.4851,0.0182,1.4869,1.4784
1991,peak-3,88.4810,0.0441,0.2319,0.0202,0.2318,0.2657
1991,peak-2,89.4720,0.0451,0.5171,0.0273,0.5167,0.5034
1991,peak-1,90.2270,0.0461,0.9082,0.0353,0.9078,0.8965
1991,peak,91.2230,0.0471,1.4859,0.0232,1.4877,1.4764
1991,peak+1,91.9690,0.0481,1.2447,0.0424,1.2448,1.2057
1991,peak+2,92.9680,0.0490,0.6836,0.0354,0.6833,0.6994
1991,peak+3,93.7170,0.0500,0.4794,0.0242,0.4792,0.4899
1992,peak,91.2990,0.0520,1.4781,0.0083,1.4802,1.4785
1993,peak-2,89.4505,0.0564,0.4964,0.0081,0.4959,0.4956
1993,peak,91.2072,0.0568,1.4563,0.0142,1.4589,1.4748
1993,peak+2,93.0351,0.0570,0.6681,0.0091,0.6677,0.6755
1994,peak(ab),91.2200,0.0565,1.4752,0.0058,1.4778,1.4761
1994,peak(c),91.4286,0.0562,1.4786,0.0674,1.4808,1.4617
1994,peak(d),91.2195,0.0557,1.4762,0.0272,1.4787,1.4761
1995,peak-2,89.4415,0.0568,0.4912,0.0081,0.4907,0.4923
1995,peak,91.2827,0.0578,1.5085,0.0193,1.5111,1.4789
1995,peak+2,92.9715,0.0581,0.6894,0.0093,0.6889,0.6981
