year,sample,sqrt_s_mean_GeV,sqrt_s_rms_GeV,xsec_measured_nb,xsec_measured_err_nb,xsec_corrected_nb,xsec_fit_nb
1990,peak-3,88.2510,0.0481,0.2152,0.0245,0.2151,0.2343
1990,peak-2,89.2510,0.0490,0.4304,0.0296,0.4301,0.4299
1990,peak-1,90.2490,0.0500,0.9328,0.0633,0.9323,0.9109
1990,peak,91.2440,0.0510,1.4566,0.0245,1.4587,1.4767
1990,peak+1,92.2350,0.0520,1.0292,0.0552,1.0289,1.0459
1990,peak+2,93.2380,0.0529,0.6518,0.0409,0.6515,0.6097
1990,peak+3,94.2350,0.0539,0.4095,0.0327,0.4094,0.3980
1991,prescan,91.2540,0.0471,1.4325,0.0194,1.4343,1.4771
1991,peak-3,88.4810,0.0441,0.2769,0.0235,0.2768,0.2655
1991,peak-2,89.4720,0.0451,0.4845,0.0297,0.4841,0.5029
1991,peak-1,90.2270,0.0461,0.8331,0.0368,0.8327,0.8957
1991,peak,91.2230,0.0471,1.4384,0.0256,1.4402,1.4751
1991,peak+1,91.9690,0.0481,1.1892,0.0450,1.1893,1.2047
1991,peak+2,92.9680,0.0490,0.6953,0.0409,0.6950,0.6988
1991,peak+3,93.7170,0.0500,0.4989,0.0276,0.4987,0.4895
1992,peak,91.2990,0.0520,1.4734,0.0092,1.4755,1.4773
1993,peak-2,89.4505,0.0564,0.5074,0.0092,0.5069,0.4951
1993,peak,91.2060,0.0570,1.5048,0.0158,1.5074,1.4734
1993,peak+2,93.0351,0.0570,0.6660,0.0102,0.6656,0.6750
1994,peak(ab),91.2198,0.0565,1.4812,0.0065,1.4838,1.4749
1994,peak(c),91.4286,0.0562,1.3708,0.0724,1.3730,1.4605
1994,peak(d),91.2195,0.0557,1.4477,0.0301,1.4502,1.4748
1995,peak-2,89.4415,0.0568,0.4892,0.0091,0.4887,0.4919
1995,peak,91.2827,0.0578,1.4988,0.0213,1.5014,1.4776
1995,peak+2,92.9715,0.0581,0.7089,0.0105,0.7084,0.6976
