year,sample,sqrt_s_GeV,L_pbinv,N_had,N_ee,N_mumu,N_tautau
1990,peak-3,88.22,0.5,2229,169,109,81
1990,peak-2,89.23,0.6,5322,306,231,214
1990,peak-1,90.23,0.4,7045,320,316,221
1990,peak,91.22,3.5,103664,3363,4834,3563
1990,peak+1,92.21,0.5,10412,271,527,364
1990,peak+2,93.22,0.6,6848,203,308,260
1990,peak+3,94.22,0.6,4373,128,202,161
1991,prescan,91.25,5.1,156592,5624,7563,6059
1991,peak-3,88.48,0.7,3646,297,176,166
1991,peak-2,89.47,0.8,7991,451,363,289
1991,peak-1,90.23,0.9,16011,683,744,569
1991,peak,91.22,3.0,92025,3365,4422,3603
1991,peak+1,91.97,0.8,20353,566,916,734
1991,peak+2,92.97,0.6,8356,325,478,436
1991,peak+3,93.72,0.9,9404,284,404,359
1992,peak,91.30,24.9,733059,23998,32492,27036
1993,prescan(a),91.14,0.3,9905,345,454,370
1993,prescan(b),91.32,5.3,162218,5256,7139,6002
1993,peak-2,89.45,8.5,85727,4595,3884,3336
1993,peak,91.21,8.8,265494,8766,10871,9712
1993,peak+2,93.04,9.0,125320,3549,5521,4612
1994,peak(ab),91.22,50.1,1520277,49142,67791,55886
1994,peak(c),91.43,0.4,11255,345,500,381
1994,peak(d),91.22,2.3,69062,2170,3060,2478
1995,prescan(a),91.80,0.2,5941,178,259,191
1995,prescan(b),91.30,9.9,300676,9642,13401,11049
1995,peak-2,89.44,8.4,84236,4407,3768,3185
1995,peak,91.28,4.6,140749,4623,6338,5262
1995,peak+2,92.97,8.9,127707,3651,5696,4876
