year,sample,sqrt_s_mean_GeV,sqrt_s_rms_GeV,xsec_measured_nb,xsec_measured_err_nb,xsec_corrected_nb,xsec_fit_nb
1990,peak-3,88.2510,0.0481,4.669,0.110,4.667,4.605
1990,peak-2,89.2510,0.0490,8.501,0.130,8.494,8.687
1990,peak-1,90.2490,0.0500,18.899,0.281,18.890,18.713
1990,peak,91.2440,0.0510,30.445,0.130,30.488,30.500
1990,peak+1,92.2350,0.0520,21.400,0.271,21.394,21.529
1990,peak+2,93.2380,0.0529,12.434,0.180,12.427,12.450
1990,peak+3,94.2350,0.0539,7.947,0.130,7.944,8.045
1991,prescan,91.2540,0.0471,30.355,0.099,30.391,30.510
1991,peak-3,88.4810,0.0441,5.326,0.095,5.323,5.258
1991,peak-2,89.4720,0.0451,10.087,0.126,10.080,10.210
1991,peak-1,90.2270,0.0461,18.243,0.171,18.234,18.398
1991,peak,91.2230,0.0471,30.370,0.129,30.407,30.469
1991,peak+1,91.9690,0.0481,24.603,0.215,24.605,24.836
1991,peak+2,92.9680,0.0490,14.058,0.178,14.051,14.304
1991,peak+3,93.7170,0.0500,9.916,0.115,9.912,9.949
1992,peak,91.2990,0.0520,30.566,0.045,30.609,30.514
1993,peak-2,89.4505,0.0564,10.053,0.037,10.042,10.048
1993,peak,91.2063,0.0570,30.352,0.070,30.407,30.433
1993,peak+2,93.0351,0.0570,13.856,0.043,13.847,13.808
1994,peak(ab),91.2199,0.0565,30.379,0.029,30.433,30.463
1994,peak(c),91.4287,0.0562,30.308,0.339,30.353,30.163
1994,peak(d),91.2195,0.0557,30.598,0.138,30.650,30.462
1995,peak-2,89.4415,0.0568,9.989,0.037,9.978,9.981
1995,peak,91.2829,0.0578,30.559,0.097,30.614,30.520
1995,peak+2,92.9715,0.0581,14.282,0.044,14.272,14.278
