year,sample,sqrt_s_mean_GeV,sqrt_s_rms_GeV,xsec_measured_nb,xsec_measured_err_nb,xsec_corrected_nb,xsec_fit_nb
1990,peak-3,88.2510,0.0481,0.3520,0.0281,0.3519,0.3403
1990,peak-2,89.2510,0.0490,0.4850,0.0281,0.4848,0.4795
1990,peak-1,90.2490,0.0500,0.8110,0.0451,0.8109,0.7762
1990,peak,91.2420,0.0510,1.0120,0.0180,1.0132,1.0054
1990,peak+1,92.2350,0.0520,0.6010,0.0371,0.6007,0.6307
1990,peak+2,93.2380,0.0529,0.3650,0.0261,0.3648,0.3594
1990,peak+3,94.2350,0.0539,0.2310,0.0210,0.2309,0.2429
1991,prescan,91.2540,0.0471,0.9875,0.0140,0.9886,1.0036
1991,peak-3,88.4810,0.0441,0.3623,0.0239,0.3622,0.3636
1991,peak-2,89.4720,0.0451,0.5628,0.0280,0.5626,0.5282
1991,peak-1,90.2270,0.0461,0.7617,0.0299,0.7616,0.7677
1991,peak,91.2230,0.0471,1.0093,0.0190,1.0104,1.0079
1991,peak+1,91.9690,0.0481,0.6885,0.0300,0.6884,0.7422
1991,peak+2,92.9680,0.0490,0.4165,0.0270,0.4163,0.4114
1991,peak+3,93.7170,0.0500,0.3020,0.0180,0.3019,0.2920
1992,peak,91.2990,0.0520,1.0062,0.0065,1.0074,0.9958
1993,peak-2,89.4505,0.0564,0.5414,0.0080,0.5411,0.5231
1993,peak,91.2063,0.0570,1.0064,0.0109,1.0080,1.0098
1993,peak+2,93.0351,0.0570,0.3945,0.0067,0.3942,0.3973
1994,peak(ab),91.2197,0.0565,1.0047,0.0046,1.0063,1.0083
1994,peak(c),91.4286,0.0562,0.9422,0.0512,0.9434,0.9635
1994,peak(d),91.2195,0.0557,0.9676,0.0210,0.9691,1.0083
1995,peak-2,89.4415,0.0568,0.5260,0.0080,0.5257,0.5209
1995,peak,91.2829,0.0578,1.0074,0.0150,1.0089,0.9988
1995,peak+2,92.9715,0.0581,0.4088,0.0068,0.4085,0.4107
